horizon,commodity,stale,zero_return_frac,mse_full,mse_ar1,mse_mean,mse_zero,r2_oos_vs_ar1,r2_oos_vs_mean,r2_oos_vs_zero,cw_stat,cw_p,cw_fdr10_reject
5,NaturalGas,False,0.0027874564459930314,0.013673042257008742,0.013638385927561112,0.013767155208495705,0.013739788186777941,-0.002541087312802448,0.006836049282635037,0.004857857258194875,-1.141198586936637,0.8731063538744994,False
5,WTI,False,0.004181184668989547,0.003297102849895277,0.0032547347827763884,0.003102261170370104,0.003098246104614339,-0.01301736391643793,-0.0628063431235637,-0.0641836505449882,-0.9697089169039426,0.8339041977381259,False
5,Gasoline,False,0.0003484320557491289,0.0035556976590454823,0.0035422337549399804,0.00336272095210548,0.003357773433608294,-0.0038009643171417196,-0.05738707127011988,-0.058945080527514016,-0.2337534507553992,0.5924118053326707,False
5,HeatingOil,False,0.0006968641114982578,0.004017311043042062,0.003997604668443036,0.003955633749179988,0.003948824243424243,-0.004929545623804987,-0.015592266062261162,-0.017343592774954786,-1.4099654574908127,0.9207250586180308,False
5,Gold,False,0.0031358885017421603,0.0006431298956616692,0.0006411260953702335,0.0006392581920849906,0.0006481927962064263,-0.003125438670966041,-0.006056556841376848,0.007810794217998129,-0.9841438662184772,0.8374776093937343,False
5,Silver,False,0.0024390243902439024,0.0029035346403712614,0.0028928199633779387,0.0028861967111066507,0.0028920102591617957,-0.0037038865636185303,-0.006007189044977768,-0.003984903294501407,-2.5922587686357694,0.9952325988231345,False
5,Copper,False,0.007317073170731708,0.0016141058254495598,0.001607535082906454,0.0016047221866203755,0.0016037398406987618,-0.004087464474632707,-0.005847516104296346,-0.006463632372119443,-1.553722888403422,0.9398747344960838,False
5,Aluminium,False,0.0031358885017421603,0.0012591680071235315,0.0012572946316231715,0.0012553842068200912,0.0012556065021070869,-0.0014900051692272598,-0.0030140575951842496,-0.0028364818201147557,0.6441634121550103,0.25973473689453497,False
5,Nickel,False,0.0006968641114982578,0.003515235988676436,0.0034798738978400585,0.0034932900862970338,0.00348714942232064,-0.010161888584045098,-0.006282301737690954,-0.008054305380784443,-0.9328084221332857,0.8245405540232416,False
5,Zinc,False,0.003484320557491289,0.001631270552366946,0.001630241868025046,0.0016236691835308096,0.0016204994256303889,-0.0006310010570063085,-0.004681599498985722,-0.006646794541359968,0.5892405674931276,0.2778499535703084,False
5,Platinum,False,0.0031358885017421603,0.00231356276266642,0.002291326848269345,0.002298044953501452,0.0022940570072656915,-0.0097043834727768,-0.006752613407898789,-0.008502733514882177,-2.1739792278694967,0.9851466523842929,False
21,Coffee,False,0.009059233449477353,0.011767312872103895,0.011757982236121614,0.011606691413741339,0.011632202833868706,-0.0007935575845332554,-0.013838694649225713,-0.011615172135908569,0.17741883459506802,0.4295897070633763,False
21,SoybeanOil,False,0.012195121951219513,0.010651122255561373,0.010663142272509352,0.010502919112067258,0.010423092066314239,0.0011272490454308226,-0.014110662179987576,-0.021877403345988977,1.0470231391021592,0.14754445313575393,False
21,Corn,False,0.0156794425087108,0.006558580978499367,0.006500106862484729,0.006461149701956986,0.006359217090223374,-0.008995869952864943,-0.015079557205255778,-0.031350382515246134,-1.820492165070308,0.9656579558332975,False
21,Cotton,False,0.0031358885017421603,0.008738680913896705,0.008734096271774587,0.008700419150691892,0.008613892775708079,-0.0005249131655364891,-0.004397691943585302,-0.014486846010033805,0.6048932184184242,0.27262497471511815,False
21,HRWWheat,False,0.01602787456445993,0.00874914196514089,0.008731599641823812,0.008423104502188942,0.008331392927959204,-0.0020090618027250873,-0.0387075172660174,-0.05014155985606772,0.322547277729005,0.37351906369722654,False
21,LeanHogs,False,0.01289198606271777,0.01071439510243108,0.010587062300787863,0.01055896553152109,0.010461758356362977,-0.012027208117377564,-0.014720151367669132,-0.024148593139168284,-0.8867342732269872,0.8123890092801442,False
21,LiveCattle,False,0.015331010452961672,0.0015085992535355385,0.0014977575406130835,0.0014708350430363995,0.001521217673001597,-0.007238630171086946,-0.02567535406361987,0.00829494666674524,-0.26520119880486254,0.6045727642770959,False
21,Soybeans,False,0.010801393728222997,0.004043112507138853,0.004017958291857836,0.003959165217802224,0.003918299942840009,-0.006260447086270382,-0.0212032801660218,-0.03185375446484562,-1.191377382599698,0.8832472660911646,False
21,Sugar,False,0.017421602787456445,0.005761837605371724,0.005711350718400241,0.005820021538641592,0.00577585255197998,-0.008839745527941423,0.009997202395826243,0.0024264723661360232,-0.10274502056227594,0.5409173292730239,False
21,Brent,False,0.003484320557491289,0.009826625023215338,0.009759636488830771,0.009635895632158043,0.009557446405128265,-0.006863834986193362,-0.019793633963901547,-0.028164282244119043,-0.551087006242454,0.709212983837163,False
21,NaturalGas,False,0.0027874564459930314,0.05068641071989967,0.05055073088766282,0.04920078927581749,0.04869499014159917,-0.002684033046690626,-0.03019507341140093,-0.040895800009604466,-0.8728722864572173,0.8086336533043208,False
21,WTI,False,0.004181184668989547,0.01094160557743177,0.010753975630098866,0.01069034873807512,0.010637939878523217,-0.01744749605046092,-0.023503147138854708,-0.02854553629520118,-0.8286960948443277,0.7963618019511165,False
21,Gasoline,False,0.0003484320557491289,0.013906362086945383,0.013688052456082027,0.013547115358334642,0.013452580182567028,-0.015948918340560114,-0.02651831914826963,-0.033731960577079834,-0.25439863006972885,0.60040619539694,False
