date,F1,F2,F3,F4,F5,F6
2017-06-28,0.1500911,0.06761454,-0.0022261955,0.98484105,0.5166316,0.29948378
2017-06-29,0.61445767,1.0592278,0.36487198,0.19829759,-1.0061688,0.15564534
2017-06-30,0.9388261,1.5195653,0.39662203,0.13792038,-1.6522932,-0.14013746
2017-07-03,-0.17238896,1.6523455,-0.38454583,-0.5052473,-1.4085156,1.0885203
2017-07-05,0.020586202,0.029740151,0.026844848,-1.4406911,-0.7808205,-1.1529337
2017-07-06,-0.18487217,-0.26604003,-0.097007,0.7608493,0.62930065,0.10702444
2017-07-07,-0.039796367,0.021590492,-0.504674,-1.8473039,-0.8640739,-0.34418616
2017-07-10,-0.22637755,-0.08002657,0.5026207,-0.19995569,-0.77189505,-0.122444905
2017-07-11,0.07087768,0.7090134,-0.05655325,0.6895483,0.21339133,0.29099256
2017-07-12,0.2772071,-1.1238914,0.109800436,0.88244355,1.5126181,-0.16099626
2017-07-13,-0.8710205,-1.1697806,-0.3015271,0.38580364,1.5349122,0.89862835
2017-07-14,0.80979455,0.47217864,0.55432194,1.3515426,-0.010703537,-0.46704713
2017-07-17,0.32867107,0.54833156,0.44414383,-0.007445388,-0.21845403,-0.9387867
2017-07-18,0.7862183,0.19730166,0.16962765,0.06561488,-0.108612455,0.35794714
2017-07-19,-0.40274698,-0.15251163,0.20192926,1.1211212,-1.2952911,0.61685055
2017-07-20,0.20414908,0.29067793,0.4564929,0.31757057,-0.9365838,-0.6622949
2017-07-21,0.45549157,-0.75162053,0.0061975564,-0.71372384,1.2403814,-0.9347939
2017-07-24,0.077829644,0.5593259,-0.6297241,-0.5551207,1.1294342,0.44404244
2017-07-25,-0.2997585,0.8221546,-0.41935867,0.95700973,2.0042503,0.7612257
2017-07-26,-0.042292994,0.48841274,0.19489133,1.0129712,-0.71888703,0.610091
2017-07-27,0.33646578,0.23632145,0.42527407,0.9957041,-0.5992051,-0.2770315
2017-07-28,0.05404372,-0.20706409,0.45282853,1.2890091,-0.4309367,-0.00032675563
2017-07-31,0.32660842,0.21407337,-0.11551475,0.60816336,0.21179368,0.54571
2017-08-01,-0.5169226,-1.5594778,-0.20247805,-0.17993747,1.4008691,-0.46600577
2017-08-02,0.062667295,0.6747201,0.055271626,0.69086874,-0.09005906,-0.079409905
2017-08-03,-0.61692107,-0.76938236,-0.3609595,-0.33779636,0.7952474,-0.13221039
2017-08-04,-0.5162464,0.32790905,-0.46990827,-0.10025576,-0.27221882,0.58206064
2017-08-07,0.52382195,1.5151056,0.0010328506,-0.6134869,0.14873238,-0.63426745
