date,F1,F2,F3,F4,F5,F6,F7,F8
2014-08-05,-0.4447086,0.4722587,0.06429674,-0.025316896,-0.45949888,0.04064559,0.40121183,-1.4442539
2014-08-06,-0.16651765,-0.9986817,0.5098616,-1.5708464,0.47482145,-0.077400066,-0.48470283,0.9666568
2014-08-07,0.2055843,1.2241657,-0.10359775,-0.32749313,0.5023662,-0.800685,0.4516361,-0.29057744
2014-08-08,-0.35400483,0.7656981,0.07712213,0.029128097,-0.09393846,-0.42492446,0.47977203,-0.42642894
2014-08-11,-0.33670852,-0.80033016,0.20023312,-0.3601465,-0.19411089,0.52776563,-0.14659496,0.6657021
2014-08-12,-0.14332642,1.4796549,0.12186066,0.46404696,0.3993166,-0.02871094,-0.18646005,-0.9790635
2014-08-13,0.2203063,0.5097885,0.64207554,-0.45174992,0.9073344,-0.6986736,0.65902907,-1.1936629
2014-08-14,-0.33178717,0.6476674,0.69964373,-0.17043084,-0.08396833,0.74322295,-1.0250858,-0.8960277
2014-08-15,1.0719017,0.5691936,0.25053003,0.5381863,2.3285015,0.20057558,1.3395998,-0.96320856
2014-08-18,-0.50387853,0.48453718,-0.033432126,0.20908216,-0.60589796,0.6790065,-0.6518133,-0.16502474
2014-08-19,-0.2966522,0.22592641,-0.3647631,0.1388308,-0.47160885,-0.32137117,0.22721818,-0.50991344
2014-08-20,0.76582754,0.08814706,-0.5249265,1.5522672,0.51789,0.44242707,-0.11821408,1.0608591
2014-08-21,-0.6311323,-1.1800292,-0.15124328,0.27302766,-1.2684362,0.26262096,0.5661604,-0.29327965
2014-08-22,-0.20825653,-0.43420824,-0.20753448,-0.8781608,-0.34404537,0.26616055,-0.34868422,0.45293736
2014-08-26,0.892782,1.1879966,0.18113513,1.946378,1.037396,-0.23395893,-0.54915863,-0.45874488
2014-08-27,-0.17964359,-0.118464984,-0.07325758,-0.05786041,-0.37167394,-0.05342362,0.00341185,-0.1067004
2014-08-28,-0.27584252,-0.19127868,0.56916165,-0.844213,0.20600647,-0.501825,-0.22240774,-0.19559455
2014-08-29,0.05153457,0.44698647,-0.9459511,0.8128148,-0.6306703,-0.29216123,-0.20786045,0.23439749
2014-09-02,-1.2637742,0.16198452,0.88738155,0.4643394,-1.2052768,1.3084359,-0.5726544,-0.8035608
2014-09-03,1.1486564,1.4730779,-0.9767241,0.76433814,0.5937101,-0.73967725,0.34345582,-0.5166192
2014-09-04,0.1770488,0.7454114,-0.37064824,1.3718847,-0.49791718,0.2729369,-1.0450929,0.056324292
2014-09-05,-1.1105856,-0.8369282,0.1333597,-0.75841707,-1.439261,0.010257667,-0.99312395,0.6487717
2014-09-09,-0.71927595,0.87275255,0.3444332,-0.3588158,-0.47994718,-0.4758655,1.0999535,-2.3205204
2014-09-10,0.05217874,0.78254634,-0.24237849,-0.48567244,-0.15195018,0.2091032,-0.21555564,-0.7051636
2014-09-11,-0.037209734,0.7600626,0.23810236,0.027366119,0.21239145,-0.483109,1.2213262,-1.3676678
2014-09-12,-0.6564354,0.73832023,-0.6530377,-1.0061995,-0.822714,-0.1888803,-0.07571819,0.38069126
2014-09-15,0.2561832,0.47045833,0.80741155,0.5132757,0.5714241,-0.87129694,0.2945316,-1.609429
2014-09-16,0.6998016,0.35038877,-0.45636413,1.5503904,0.5295487,-0.3970948,-0.4098153,1.0953829
2014-09-17,-0.022034442,-0.7432092,0.17124775,-0.31989285,-0.11136604,0.4171239,0.52330303,-0.24003632
2014-09-18,-0.33495584,1.5252522,0.3338525,-0.066479824,0.35945985,0.15529181,0.5358052,-2.1702487
2014-09-19,-0.2348174,0.85204005,-0.43013406,1.3974296,-0.8044417,-0.3807956,0.3362522,-1.2346369
2014-09-22,-0.06644801,-0.6249772,1.137079,-0.3964837,0.6001101,0.7028553,0.39221406,-1.4922744
2014-09-23,0.1800872,0.5411037,-0.076455906,0.37746644,0.040495988,-0.19968352,-0.25135824,-0.11835773
2014-09-24,-0.023864897,-1.2564747,-0.19238222,0.86422247,-0.63832027,0.5699249,0.070046455,0.49028617
