n_factors,lr,weight_decay,epochs,beta,train_mse,test_mse
6,0.001,0.0001,300,0.8,0.6622526453967218,0.7650155086761762
8,0.005,0.0001,300,2.0,0.670495842394864,0.7662324900216329
9,0.001,0.0,300,1.0,0.6637830130200485,0.7670862432903918
9,0.005,0.0001,300,2.0,0.6706245207220953,0.7671110115331323
5,0.005,0.0001,300,2.0,0.6728693415891583,0.7672225705057095
7,0.001,0.001,300,0.8,0.6630870600248299,0.7694499643203032
9,0.001,0.001,300,0.8,0.6687977599587698,0.7697147806117718
9,0.001,0.0001,300,1.0,0.6667787754043916,0.7702775860515296
8,0.001,0.001,300,1.0,0.6640730889428964,0.770714631265257
6,0.005,0.0,200,2.0,0.6727772806454183,0.7716699392803592
7,0.001,0.0,300,1.0,0.6639345654927549,0.7718765272732223
4,0.001,0.0,300,0.3,0.6765105477782358,0.7729738007077654
7,0.005,0.0,300,2.0,0.6796566262953476,0.7730583121224186
7,0.001,0.0001,300,1.0,0.6651604636088714,0.7731123168648903
5,0.001,0.0,300,1.0,0.6771821069718171,0.7733089857446673
4,0.001,0.0001,300,0.3,0.677057819217997,0.7733178569377913
4,0.001,0.0,300,0.5,0.6776780894100967,0.7736990108884673
4,0.001,0.0001,300,0.5,0.6782752834252689,0.7741483058519212
6,0.001,0.001,300,0.8,0.6717197381797089,0.7746048686585854
5,0.001,0.0001,300,1.0,0.6785575575246878,0.7750274389301984
5,0.001,0.001,300,0.8,0.680106424644158,0.7752738883225853
6,0.005,0.0001,200,2.0,0.676719017518923,0.7759623405173737
7,0.005,0.0001,300,2.0,0.6820659769400856,0.7763563050869454
4,0.001,0.001,300,0.3,0.6824224081960544,0.7773793896250973
6,0.001,0.0,300,1.0,0.6744820226233932,0.7789668250707088
4,0.001,0.001,300,0.5,0.6841402764667529,0.7791249271684626
6,0.001,0.0001,300,1.0,0.6756505171969095,0.780189130960492
4,0.005,0.0,300,2.0,0.6867038609763977,0.7811040038240763
3,0.005,0.0,300,2.0,0.6855731522315764,0.7817235302118798
4,0.001,0.0,300,0.8,0.6853654314356961,0.7818616184037593
4,0.001,0.0001,300,0.8,0.6859648549094607,0.7823789632572373
4,0.005,0.0001,300,2.0,0.6878362716030714,0.7827021721969002
8,0.001,0.0,200,0.3,0.6712864225363504,0.783033809989438
3,0.005,0.0001,300,2.0,0.6865052568622031,0.7831122528181266
8,0.001,0.0001,200,0.3,0.6718600517619352,0.7836314910607538
8,0.005,0.0,200,2.0,0.6843614203897347,0.7839633909973631
7,0.005,0.0,200,2.0,0.6869013159596149,0.7850432119724787
7,0.001,0.001,300,1.0,0.6771434775620027,0.7850986820245252
8,0.005,0.0001,200,2.0,0.6863899794605223,0.7863167991497132
7,0.005,0.0001,200,2.0,0.688094411161035,0.7865598958005623
9,0.005,0.0,200,2.0,0.6851986106088859,0.7877666112225726
4,0.001,0.001,300,0.8,0.6917677300220059,0.7879541599269593
5,0.005,0.0,200,2.0,0.6884390975698012,0.788123721540261
8,0.005,0.0,50,0.3,0.6779562255584511,0.788634963212003
5,0.001,0.001,300,1.0,0.6896941697098665,0.7890071326700154
4,0.005,0.0,200,2.0,0.6894099648440392,0.7890992505952352
8,0.005,0.0001,50,0.3,0.6785324398561914,0.7892944842986422
8,0.001,0.0,200,0.5,0.6762890732548282,0.7893033372785416
4,0.005,0.0001,200,2.0,0.6902078333201604,0.7898505531610222
8,0.001,0.0001,200,0.5,0.6770084131882693,0.7901389865623952
4,0.001,0.0,300,1.0,0.6926356628712537,0.7903049739130951
8,0.001,0.001,200,0.3,0.6779153746368027,0.7903458024840129
5,0.005,0.0001,200,2.0,0.6903225566236603,0.7904717032913576
9,0.005,0.0001,200,2.0,0.687435005021117,0.7907029449223953
4,0.001,0.0001,300,1.0,0.6932515906889238,0.7908732713504284
3,0.005,0.0,200,2.0,0.6908458755935214,0.7924498968063002
9,0.001,0.0,200,0.3,0.6811916816486189,0.79247499661844
6,0.001,0.001,300,1.0,0.6880209592221319,0.7934293010403733
9,0.001,0.0001,200,0.3,0.6821950220106435,0.7935288141610457
3,0.005,0.0001,200,2.0,0.6918949771367531,0.7935634604719649
3,0.001,0.0001,300,0.5,0.6917124562051808,0.7936021537427921
3,0.001,0.001,300,0.5,0.6922382325385168,0.7936831706095966
3,0.001,0.0,300,0.5,0.6918012709917015,0.7938127585109775
8,0.005,0.0,50,0.5,0.6834917307429198,0.7957527899102973
3,0.001,0.001,300,0.3,0.6935959339722821,0.7958162365084079
3,0.001,0.0001,300,0.8,0.6934541077615635,0.7960091240412079
3,0.001,0.0,300,0.8,0.6934801850191309,0.796148358937585
8,0.005,0.001,300,2.0,0.6952365523648891,0.7962416811197505
9,0.001,0.001,300,1.0,0.6910438528838042,0.7965388066770526
7,0.005,0.001,300,2.0,0.6953011170747067,0.7965677340504783
8,0.005,0.0001,50,0.5,0.6842862444159928,0.7966214356124
3,0.001,0.0001,300,0.3,0.6937792687514556,0.7967144682760654
3,0.001,0.0,300,0.3,0.6939563959870032,0.7970307466785849
3,0.001,0.001,300,0.8,0.694778907365529,0.7972474375740434
8,0.005,0.001,50,0.3,0.6855204959239855,0.7973069484124976
4,0.005,0.001,300,2.0,0.6971216340657737,0.79746310113005
4,0.001,0.001,300,1.0,0.6997872768535431,0.7974875693910689
5,0.005,0.001,300,2.0,0.6958185655663751,0.7978698340725129
8,0.005,0.001,200,2.0,0.6986212169011866,0.798617572323661
8,0.001,0.001,200,0.5,0.684448375579515,0.7986974364538107
6,0.005,0.001,300,2.0,0.6954474081632935,0.7989986571542818
7,0.005,0.001,200,2.0,0.6975867120363736,0.7998205463043859
9,0.005,0.001,300,2.0,0.6965573948034243,0.8002949986213366
4,0.005,0.001,200,2.0,0.698778775287315,0.8003090410375912
3,0.001,0.0,300,1.0,0.6967930889662386,0.8006688533905751
3,0.001,0.0001,300,1.0,0.6968652125627027,0.8006846139948105
3,0.005,0.001,300,2.0,0.6968385192805573,0.8009365635863253
