date,F1,F2,F3,F4,F5,F6,F7
2018-09-28,0.22088696,0.18905684,0.6973362,2.198943,0.061866798,1.0523641,-0.72066534
2018-10-08,0.96858513,-1.4171517,0.15483344,0.38994884,1.5142093,1.8387496,-0.8555162
2018-10-09,-0.17711218,0.984274,0.16249543,1.2602301,-0.061054807,0.41043147,0.2518513
2018-10-10,-0.9194003,-0.8758707,0.4375681,-0.29419306,-0.58329684,-1.4178073,0.67365307
2018-10-11,1.4477371,0.43819344,1.6042249,0.71384007,0.9144937,-1.5853195,0.4903229
2018-10-12,1.222748,-0.66597056,0.3622651,-0.49152613,1.2047067,0.31086624,-0.533854
2018-10-15,1.8518754,-0.18133862,-0.09510251,-1.5036088,0.8683726,-0.619954,-1.0583196
2018-10-16,-1.1178402,0.9277423,-0.6847551,0.18855672,-0.36465323,-0.23984283,0.32780355
2018-10-17,0.25162604,-1.0959779,0.88011444,0.21654533,0.3012832,-0.091594756,0.3360737
2018-10-18,-1.0017368,-0.5792635,0.32933903,0.47234547,-1.0017803,-0.6785018,0.31964633
2018-10-19,-0.38478458,0.24340095,-0.10506005,-0.13418375,-0.56779975,0.3815475,-0.15663172
2018-10-22,-0.7681291,1.5293446,-0.6226154,-0.96374124,-0.05898775,-0.9287765,0.28652936
2018-10-23,0.79807425,-0.98908406,1.808856,0.690422,0.1174163,-1.2430124,0.8011655
2018-10-24,-1.1542472,-0.7215269,-0.17239667,0.063498445,0.036445558,0.2508508,0.5520077
2018-10-25,-1.0717472,-0.024954237,-0.09355939,0.23849924,-1.0454507,0.39858225,-0.2186428
2018-10-26,0.53481627,0.54676723,-0.31544837,-1.1640518,0.9191363,-0.33982527,-0.35861978
2018-10-29,-1.1212769,0.4371121,-0.67261326,-0.88606244,-0.5810299,-0.8061786,0.81252766
2018-10-30,-0.40169027,-1.428401,0.27886114,-0.23538877,-0.6298133,-0.81946105,0.32162172
2018-10-31,-0.20134501,-1.00522,0.1284518,-1.2184293,-0.0862398,-0.10184612,0.20347175
