date,F1,F2,F3,F4,F5,F6,F7
2019-12-24,0.03601776,0.019091718,0.04288499,0.0039868187,0.112989195,0.48222858,-0.17072013
2019-12-27,0.052412797,-0.0164398,-0.00019877135,-0.0012486196,0.15154622,0.7210267,-0.33862478
2019-12-30,0.040748473,-0.013176279,0.041828424,0.054380156,0.056150448,0.25438192,-0.044615477
2019-12-31,0.06483123,-0.00080536644,0.025789062,0.014725946,-0.02783474,-0.70228523,0.25706732
2020-01-02,0.04974846,0.04286041,0.024157964,0.007514804,0.039408166,0.34625003,-0.1159174
2020-01-03,-0.05595282,0.025155123,-0.040227395,-0.01732191,0.0215532,0.22394754,-0.12782437
2020-01-06,0.010368785,0.061660845,0.011262533,0.037734754,-0.0039601605,-0.028585283,-0.023314912
2020-01-07,0.06909567,0.030778162,0.05791322,0.06977238,0.039479796,0.016320815,0.024808405
2020-01-08,0.054826524,0.07825207,0.028603893,0.07229269,-0.09341122,-0.7356042,0.2952546
2020-01-09,-0.01908513,-0.035914615,-0.05434457,-0.016271066,-0.01010088,-0.15971258,0.05314486
2020-01-10,0.06161454,-0.021607598,0.01708315,0.019976689,0.07630137,0.2466887,-0.10829549
2020-01-13,-0.03151297,0.04960533,-0.022758355,0.031072754,-0.0792312,-0.41201997,0.16674002
2020-01-14,-0.050123744,-0.05769968,-0.0069573615,0.0113271335,0.04421078,0.13131373,-0.0007152081
2020-01-15,0.12386516,0.0317287,0.04840424,0.09268926,0.063743606,0.029092101,-0.018213857
2020-01-16,-0.10111274,0.04862828,-0.019635696,-0.013754876,-0.10422576,-0.41027546,0.105329975
2020-01-17,0.12071321,-0.0152324485,0.016155308,0.058784727,0.13320394,0.37763506,-0.17109802
2020-01-21,-0.018387675,0.008081776,-0.04138131,0.02331027,-0.046748485,-0.6354617,0.10477463
2020-02-03,0.053226564,-0.154025,0.01842065,0.15247071,-0.6397318,-3.0354059,1.19781
2020-02-04,-0.031536624,-0.06658961,-0.015699174,-0.048344504,-0.015450699,0.16031134,0.029355535
2020-02-05,-0.04640763,-0.0029299879,-0.03379851,-0.058731806,0.10339104,1.180984,-0.38383907
2020-02-06,-0.026151158,0.028794393,0.025393173,-0.015726589,0.024903499,0.09914037,-0.064210474
2020-02-07,-0.0015494899,-0.04314462,-0.010227925,0.02239806,-0.029207671,-0.46622786,0.12734315
2020-02-10,0.07234652,0.030531267,0.020941604,0.047197048,-0.0007751487,-0.48458198,0.14090759
2020-02-11,-0.07580331,-0.034525417,-0.042268626,-0.017221829,0.023131175,0.421927,-0.1031086
2020-02-12,-0.08802107,-0.017830096,-0.061789006,-0.088539004,0.026203342,0.6356047,-0.23697637
2020-02-13,0.013194995,0.009689181,0.06496457,-0.0006727354,0.012623231,0.3369499,-0.06733692
2020-02-14,0.0089488,-0.045322075,0.024021074,-0.017098362,0.038061664,-0.00017648724,0.031378508
2020-02-18,0.09527691,-0.013793413,0.08437445,0.11624957,0.14337091,0.5438829,-0.18328875
2020-02-19,-0.041389957,-0.02493216,0.0044267806,-0.028037991,0.07421364,0.62684083,-0.17756322
2020-02-20,-0.05028765,0.06576335,-0.010514459,-0.010395659,-0.09326498,-0.39538324,0.118387684
2020-02-21,0.08494085,0.049442,0.07720629,0.06050238,0.10407926,0.01910298,-0.03823773
2020-02-24,0.05692019,0.09760624,0.025478356,0.09404238,-0.16512923,-1.51198,0.49131164
2020-02-25,-0.09091767,-0.03545044,-0.013756502,0.011940801,-0.17105496,-1.013916,0.39420316
2020-02-26,0.030529859,0.03590126,0.04929628,0.08061661,-0.1139106,-1.000711,0.40324318
2020-02-27,-0.0042432253,0.10900456,0.044703662,0.04658527,-0.114396594,-1.2453482,0.38300118
2020-02-28,-0.19637418,-0.18887039,-0.1249247,-0.08830595,-0.22167395,-1.2331032,0.34680226
2020-03-02,-0.012869511,0.047451798,0.007950506,-0.06982164,0.11754501,1.3674122,-0.38408917
